normalisation,classifier,cv_f1_spam_mean,cv_f1_spam_std,cv_recall_spam_mean,cv_precision_spam_mean,cv_roc_auc_mean,cv_accuracy_mean,elapsed_s
lemmatization,LinearSVC,0.981589955926937,0.006534826608744986,0.9946587301587302,0.9688996985582203,0.9988555894962067,0.9891692716993681,3.1
none,LinearSVC,0.9802867936571478,0.00550833563207304,0.9946587301587302,0.9663512911173827,0.9987455885795994,0.988395078150981,2.9
stemming,LinearSVC,0.9785066404968047,0.004783093613617539,0.9910992063492063,0.9663101955044959,0.9986696475776695,0.9873648154306618,2.8
lemmatization,ComplementNB,0.9634447046372134,0.012013436938582167,0.9599642857142857,0.9670329249120677,0.9972786298295373,0.9788540073162622,3.6
none,ComplementNB,0.961550085963086,0.011180943952166683,0.9564087301587302,0.966788894640627,0.9973902362227406,0.9778227469238445,2.9
stemming,ComplementNB,0.9612019328051726,0.011709696591095478,0.9572896825396825,0.9652821966194874,0.9972655858297781,0.9775640172929831,2.7
lemmatization,LogisticRegression,0.9553708523301591,0.008521104157428998,0.9982222222222223,0.9161457672412073,0.9970183392650906,0.9729228466910541,3.1
none,LogisticRegression,0.9545300591778043,0.0066147774578563,0.9982222222222223,0.9145610779238019,0.9970084729325928,0.9724073827735283,3.1
stemming,LogisticRegression,0.9508490314682485,0.008484356184105615,0.9964404761904762,0.9093823677609094,0.9968324856289102,0.9700864649151978,3.0
stemming,MultinomialNB,0.9185915071229758,0.0038254376193669706,0.8585317460317461,0.9878894416311393,0.9972655858297781,0.9559045560359163,2.9
lemmatization,MultinomialNB,0.9177241626444348,0.004549830292622415,0.8585357142857143,0.9858492131586514,0.9972786298295373,0.9553884270036581,3.0
none,MultinomialNB,0.9135226112790887,0.005022355965486872,0.8505277777777778,0.9866602805089648,0.9973902362227406,0.9533255736614568,4.9
